,NAME,COHORT,DESCRIPTION
1227,Povio,w2014,"Povio does product design and software development, or helps you scale your team with dedicated remote engineers. 50+ YC companies used Povio so far."
1228,PushBullet,w2014,Push things to your other things.
1229,Rickshaw,w2014,"Same day local delivery, via API. Currently operating in SF."
1230,Rocketrip,w2014,Rocketrip helps companies save money on travel expenses by aligning employee interest with company policy.
1231,Sendwithus,w2014,"Turn your email provider into a growth marketing platform. Templates, A/B Tests, Drip Campaigns, Segments, and Analytics for Mailgun, SendGrid, Mandrill, and SparkPost."
1232,Shoobs,w2014,We help you find and book tickets to great entertainment events that match your taste.
1233,Shopagram,w2014,Next Generation Home Shopping Network
1234,SketchDeck,w2014,Design on demand
1235,Snapdocs,w2014,Snapdocs powers homeownership.
1236,StackLead,w2014,Lead intelligence as a service. We want to be your personal lead consultants--email us at founders@stacklead.com and we'll help you generate and prioritize leads.
1237,Style Lend,w2014,P2P dress rental.
1238,Taplytics,w2014,Make product decisions driven by your customers: Taplytics is an intelligent customer experience cloud specializing in turning first-time users into lifetime customers through magical moments.
1239,Terravion,w2014,Real time Google Earth for agriculture -- imagery collected weekly during the growing season by our aircraft. TerrAvion collects >100x more mapped area in any week/month than the whole electric drone industry combined.
1240,Theorem LP,w2014,"The mission of Theorem is to make credit safe and available. We use data science, machine learning, and software engineering to invest in marketplace lending loans."
1241,Threadable,w2014,Mailing lists 2.0. Threadable makes group email less noisy and more actionable.
1242,TrueVault,w2014,TrueVault is the first data security company entirely focused on protecting consumers' Personal Data for enterprises
1243,Two Tap,w2014,"Two Tap connects retailers to companies that want to sell their products, in apps or sites, domestic or internationally Two Tap Crossborder is risk-free for retailers and it allows anyone outside of the US to order products from 1000s of US stores"
1244,Unbabel,w2014,AI Powered Translation as a Service
1245,Unicornly,w2014,"Unicorn.ly makes fundraising more efficient for both angel investors and entrepreneurs. For angels, Unicorn.ly brings deal flow and a community of experts. For companies, Unicorn.ly helps attract investors and lead them efficiently toward a close."
1246,Vidpresso,w2014,"We help media companies, brands and celebrities create high quality broadcasts for Facebook Live."
1247,Weave,w2014,Integrated Customer Communication Platform
1248,Whirlscape,w2014,Mobile keyboards + emoji + deep learning. We make Dango. We also made the Minuum keyboard.
1249,Wit.ai,w2014,Natural Language for Developers -- Wit is an API that makes it easy for developers to create apps that you can talk and text to. It turns speech or text into actionable data.
1250,Yumbin,w2014,App replaces office vending.
1251,Zesty,w2014,"Zesty serves delicious, healthy meals from the best local restaurants to your office."
1252,Zidisha,w2014,Direct P2P lending across the international wealth divide.
1253,Zinc,w2014,The secret backbone of e-commerce. The Zinc API knows all products for sale on the internet and lets you buy them.
1254,ZowPow,w2014,Wireless toy game controllers for mobile games.
1255,7cups,s2013,7 Cups is an emotional support service that matches up people that need support with active listeners and therapists.
1256,Amulyte,s2013,Remote monitoring & activity tracking system for seniors.
1257,Apptimize,s2013,"Apptimize lets mobile teams innovate faster to create an amazing user experience. Our tech lets you instantly update your native Android and iOS apps for A/B testing, feature flagging, and changes without having to go through the App/ Play Stores."
1258,Arcus,s2013,API for payments anywhere in the world
1259,Asseta,s2013,Marketplace for industrial spare parts and capital equipment.
1260,Audobox,s2013,Audobox is a developer and user friendly tool for in-app feedback.
1261,BloomThat,s2013,Uber for Flowers.
1262,Bop.fm,s2013,Canonical permalinks for songs.
1263,Butter Systems,s2013,Replacing the paper restaurant menu with an interactive experience at the table.
1264,Buttercoin,s2013,Bitcoin Marketplace
1265,Casetext,s2013,We make the world's laws free and understandable.
1266,CoreOS,s2013,Enterprise Linux distribution that dramatically improves security and speed of application deployment.
1267,Cratejoy,s2013,Cratejoy is the platform for subscriptions
1268,Crowdery,s2013,"[Now Clara, YC S14- claralabs.com]"
1269,Datarank,s2013,Making sense of social data. (Acquired by SimplyMeasured.)
1270,DoorDash,s2013,Restaurant delivery.
1271,EasyPost,s2013,Shipping API
1272,Echo Locker,s2013,Android lock screen
1273,Estimote,s2013,Indoor location API for developers
1274,Floobits,s2013,"Real-time collaborative editing in the browser with support for Sublime, Vim, and Emacs. Focused right now on remote pair programming."
1275,Glio,s2013,Amazon Marketplace for Latin America
1276,GoComm,s2013,Mobile communications platform for teams working on live events
1277,Graft Concepts,s2013,Graft Concepts makes unique iPhone cases and other mobile accessories
1278,Hackermeter,s2013,Replacing resume screening with code challenges.
1279,Hum,s2013,"A chat program that integrates with email, with presence."
1280,imHome,s2013,We're creating technology to make families happier with a messaging app for the family
1281,Ixiplay,s2013,"Engaging, expressive & Android hackable robot buddy for playful interaction."
1282,Jerpix,s2013,"Digital, asynchronous collectible card game."
1283,Kivo,s2013,Git for Documents
1284,Layer By Layer,s2013,"Acquired by MakerBot in February 2014. A marketplace for 3D printable products - just like the iTunes app store, but for 3D printing. We don't sell physical products, and we don't sell design files, but rather we sell single prints."
1285,Le Tote,s2013,Subscription service for women's apparel & accessories.
1286,Lob,s2013,Lob is on a mission to make the world programmable. We offer two core API products: Print & Mail and Address Verification which enable developers to automate the offline world.
1287,LocalOn,s2013,Web marketing for SMBs & merchants associations.
1288,Lumoid,s2013,We are a try before you buy service for consumer electronics.
1289,Meta,s2013,Augmented reality glasses.
1290,One Month,s2013,"One Month's affordable online bootcamps teach people how to code in just one month. Topics include Python, Ruby on Rails, JavaScript, and Front-end Development. For a full list of courses, visit https://onemonth.com/courses."
1291,Panorama Education,s2013,Data analytics for public schools
1292,RealCrowd,s2013,Crowdinvesting for Real Estate
1293,Reebee,s2013,Flyer app.
1294,Senic,s2013,Premium Smart Home Devices
1295,SimpleLegal,s2013,"Legal spend, matter, accrual and IP management software for in-house counsel."
1296,SoundFocus,s2013,We are giving you 20/20 hearing when listening to the devices you already own and love - no hardware required.
1297,SpoonRocket,s2013,Meals Delivered in 10 Minutes
1298,StackMachine,s2013,Instant sandboxed server environments
1299,Standard Treasury,s2013,Banking APIs; acquired by Silicon Valley Bank in August 2015
1300,StatusPage,s2013,The best way to communicate with users around downtime.
1301,Teleborder,s2013,Dashboard for companies to manage immigration for their employees.
1302,True Link,s2013,Diversified financial services for seniors
1303,URX,s2013,Mobile ads that users like. Acquired by Pinterest in May 2016.
1304,Watchsend,s2013,Videos of your iOS apps
1305,WebCake,s2013,Marketing people modify site.
1306,Webflow,s2013,Dynamic website builder.
1307,Weilos,s2013,Weight loss coaching.
1308,Airware,w2013,Airware provides end-to-end solutions that enable enterprises to digitize their business and turn aerial data into actionable business intelligence.
1309,Appcubator,w2013,The easiest way to prototype web applications.
1310,BeatDeck,w2013,"Music, Metrics... Meritocracy. (Upload Music, Connect your Social Media Accounts, Receive Metrics, Perfect Yourself and Predict Success)"
1311,Bitnami,w2013,The App Store for Server Software
1312,BuildZoom,w2013,"BuildZoom is a better way to remodel. We connect homeowners to the most reliable general contractors in their area and make remodeling simpler, cheaper and more predictable."
1313,Cheetah,w2013,"Cheetah is the fastest, easiest, and most affordable way for small business owners to order their supplies with same day or next day delivery."
1314,CircuitLab,w2013,Browser-based electronics simulations and schematics software.
1315,Coin,w2013,A mobile wallet that allows you to pay everywhere credit cards are accepted.
1316,CrowdMed,w2013,CrowdMed harnesses the wisdom of crowds to solve difficult medical cases online
1317,Etleap,w2013,ETL for Big Data
1318,Experiment,w2013,funding and collaboration platform for science
1319,Fivetran,w2013,Data infrastructure as a service
1320,FlightCar,w2013,"FlightCar is the Airbnb of Car Rentals at Airports. We allow people to rent their car out to other travelers while they are gone, so they get free airport parking and make money. Renters get a cheaper rental. We also provide $1m of insurance."
1321,Goldbelly,w2013,We make the most regionally famous and downright awesome foods from across the country available for delivery to anywhere in these United States.
1322,GrepData,w2013,Big Data Analytics
1323,Heap,w2013,"Heap automatically captures every user interaction in your mobile or web app, letting you generate analytics without writing code or waiting for data."
1324,InfluxData,w2013,"InfluxData is building the platform for collecting, storing, visualizing, and processing time series data at scale."
1325,Interana,w2013,Hadoop for impatient people.
1326,Kalibrr,w2013,"Kalibrr matches people to jobs on the basis of interests, experience and skills and we operate talent marketplaces in Southeast Asia."
1327,Lawdingo,w2013,Lawdingo provides virtual paralegal services to law firms.
1328,Logiblock,w2013,Logiblock engineers electronics and development tools to dramatically accelerate your ideas into physical products.
1329,Lollipuff,w2013,Online Auctions for Authentic (Women's) Designer Goods
1330,Medisas,w2013,Medisas builds workflow & collaboration software for hospitals.
1331,MedXT,w2013,"Radiology in the cloud. X-rays, CAT scans, MRI's, and ultrasounds. Acquired by Box in November 2014."
1332,Meldium,w2013,Simple password & identity management for teams. Acquired by LogMeIn in August 2014.
1333,North,w2013,Wearable computing hardware: biosignal gesture recognition
1334,Padlet,w2013,Easiest way to put stuff on the Internet
1335,PayTango,w2013,Simple invoicing
1336,Posmetrics,w2013,Ultra-short feedback surveys on tablets mounted in businesses. Higher response rates allow more powerful data analytics.
1337,Prophecy Sciences,w2013,Predicting workplace performance through neuroscience
1338,RADAR,w2013,RADAR is building technology to completely transform the in-store experience for retail employees and customers alike.
1339,RoverRide,w2013,"A universal urban transit app. Given all transportation options available to you, Rover will give you the optimal route choice *right now*, using real-time data for each transit mode."
1340,Screenhero,w2013,"Collaborative Screen Sharing — you each get your own mouse, and you're both always in control. Acquired by Slack (Jan '15)."
1341,Semantics3,w2013,"Data and AI based enterprise solutions for e-commerce marketplaces (catalog generation & enrichment, seller onboarding), logistics companies (HTS/tariff classification, attribute enrichment) and brands (market share & trend reports, price monitoring)"
1342,SimplyInsured,w2013,We make it simple to buy health insurance online. Don't get confused by deductibles & coinsurances - we give you straightforward costs for your medical needs.
1343,Strikingly,w2013,"The easiest way to create a beautiful, mobile optimized website."
1344,StyleUp,w2013,"StyleUp brings effortless joy to getting dressed with daily, weather-appropriate advice tailored to suit your life and style."
1345,Swapbox,w2013,Stop missing deliveries. Ship to Swapbox and pick up at our kiosks.
1346,Swish,w2013,Kickstarter for physical products. Shop exclusive product launches.
1347,Teespring,w2013,"Retail quality products on-demand. Teespring is a platform that enables anyone to create and sell unique apparel and items that people love, with no cost or risk."
1348,Trainzen,w2013,Educational assessments made easy. Eliminating paper-based exams in higher ed.
1349,VaycayHero,w2013,VaycayHero is a marketplace of professionally managed vacation rentals. Acquired by RedAwning in March 2017.
1350,Watsi,w2013,Watsi is the first global crowdfunding platform for medical treatments.
1351,Wefunder,w2013,"Kickstarter for equity. We let anyone invest as little as $100 in startups. We connect startups with a ""street team"" of passionate small investors eager to help evangelize."
1352,Wevorce,w2013,"Changing divorce for good by making it a way less horrible experience for kids, couples and attorneys."
1353,Zenefits,w2013,"HR for small businesses: onboarding, payroll and benefits."
1354,9gag,s2012,Make the world happier.
1355,Airshared,s2012,TBD
1356,Amicus,s2012,"Tools for nonprofits and political campaigns that win more donors, more members, and more votes."
1357,Arc,s2012,aerial videography
1358,Assorted Bits,s2012,A mobile calendar for all the fun stuff you do with friends.
1359,BackerKit,s2012,BackerKit is crowdfunding software that helps project creators manage their 1000 biggest fans.
1360,Benchling,s2012,Collaboration & data management platform for life science research
1361,Binary Thumb,s2012,Redesigning spreadsheets for the mobile world
1362,Boosted,s2012,"Simple, fun, and fast electric vehicles."
1363,Bufferbox,s2012,The future of package delivery. We are building a network of automated self-serve kiosks that allow consumers to receive parcels 24/7 from convenient locations. Say goodbye to failed deliveries! Acquired by Google 11/30/2012
1364,Canopy Labs,s2012,"Canopy Labs automates customer analytics for small and medium-sized businesses. We are developing a customer data platform which provides product recommendations, propensity models, and marketing funnel analytics."
1365,Celery,s2012,Celery is a platform for pre-orders (www.trycelery.com). Accept pre-orders easily and crowdfund on your own website.
1366,Clever,s2012,Developing applications for education is a data nightmare. Clever's APIs make building on top of student data easy for developers.
1367,Coco Controller,s2012,We're building a tactile gaming controller for mobile phones.
1368,Coinbase,s2012,Buy and sell digital currency 🚀 🌑
1369,Collections,s2012,Finder for the Cloud
1370,Credictive,s2012,Attribution metatags for online content.
1371,Crohnology,s2012,We turn Patients into Researchers. We empower every patient with tools to contribute towards research for their cure.
1372,DataNitro,s2012,We speed up Excel.
1373,Double Robotics,s2012,Telepresence robots
1374,Dreamforge,s2012,Simple 3d modeling software for 3d printers.
1375,Easel,s2012,"Easel is a visual design tool built for the web. Since the web is viewed in a browser, we believe it should be built in one too."
1376,Eligible,s2012,Healthcare Eligibility API
1377,Everyday.me,s2012,Everyday.me - Record your life. Store it forever.
1378,FileStack,s2012,"Acquired by Xenon Ventures. We enable website developers to hook into various online content sources (Dropbox, Facebook, Github, Gmail, et. al) with a single line of javascript. Thinking of dealing with files or Oauth? Talk to us first."
1379,Flightfox,s2012,"Flightfox is a human-powered travel management service. We use deep technical analysis to maximize savings, convenience and comfort for companies and individuals. We also specialize in optimizing company spending and loyalty benefits."
1380,Framebase,s2012,API for video.
1381,Fullstack Academy,s2012,"Immersive, effective, efficient code education."
1382,FundersClub,s2012,Online VC
1383,GetGoing,s2012,"We are building a ""transparent opaque"" airfare and hotel booking site -- we work with a number of top airlines and hotels to offer discounted airfare and hotel rates (think Priceline's Name Your Own Price) without hiding the details of the booking."
1384,GoScale,s2012,Server Management as a Service
1385,Health Sherpa,s2012,Private sector Healthcare.gov.
1386,Hipset,s2012,The best way for artists to release new music and videos.
1387,Hiptype,s2012,"Hiptype is a marketing and analytics platform for eBooks. We can visualize where in a book readers most often annotate and highlight, and where they lose interest and stop reading."
1388,Human Dx,s2012,The Human Diagnosis Project.
1389,Imgfave,s2012,A fun image sharing community.
1390,Instacart,s2012,Groceries delivered fast.
1392,Keychain Logistics,s2012,Software that connects the supply side of companies that ship product with independent carriers that move product.
1393,Kippt,s2012,Kippt is like GitHub for your online information. We help you to build your and your team's professional library of online resources.
1394,Knowmia,s2012,Pandora meets Yelp for K-12 educational videos. We match each student with the best teachers for their individual learning style to help them grasp key concepts for school.
1395,LeanMarket,s2012,Mobile advertising
1396,Lever,s2012,Lever is an Applicant Tracking System + Talent CRM. It effortlessly fits the hiring needs of companies today.
1397,Light Table/Eve,s2012,"Eve is our way of bringing the power of computation to everyone, not by making everyone a programmer but by finding a better way for us to interact with computers"
1398,Markupwand,s2012,TBD
1399,Mattermark,s2012,"Big Data Meets Startup Investing The best tool for tracking and benchmarking more than 200,000 startups from around the world."
1400,Mattermost,s2012,"Open source, self-hosted Slack-alternative"
1401,MicroEval,s2012,"Changing the way companies review employee performance with quantitative, short, easy-to-do evaluations."
1402,Mth Sense,s2012,We're a mobile on-device profiling and ad-serving platform initially focused on in-app ads. We profile the user based on device data but ensure user privacy by keeping the data on-device.
1403,Natero,s2012,Data-driven customer success platform for B2B SaaS.
1404,NewsBlur,s2012,NewsBlur is a personal news reader that brings people together to talk about the world. A new sound of an old instrument.
1405,OctaveWealth,s2012,The honest 401(k). Helping employees keep more of their retirement savings.
1406,OmniVirt,s2012,"OmniVirt is the leading VR Advertising platform for brands and publishers. We power VR experiences for clients like Toyota, Infiniti, Samsung, and Johnnie Walker with publishers like the The New York Times, AOL, Time Inc, Vice Media and more."
1407,Parallel Universe,s2012,Helping developers scale their applications with ease.
1408,Partnered,s2012,Partnered is a digital platform automating business development partnerships between brands and startups.
1409,Pixate,s2012,Mobile application prototyping. Now part of Google.
1410,Plivo,s2012,APIs for Voice calls and SMS
1411,Profig,s2012,"The phone system for businesses. Manage everything from your company phone system to outbound sales call centers to inbound customer support call centers, all from a single dashboard."
1412,Rainforest,s2012,"Dead simple testing. The fastest, easiest way to test your website. Say no to manual QA!"
1413,ReelSurfer,s2012,Clip and share any video from any website.
1414,RegistryLove,s2012,Cross-store wedding registry.
1415,Scoutzie,s2012,"Scoutzie is a curated community for the best mobile designers. If your startup is looking for a great designer, let us know and we will work with you to find the best possible match."
1416,SmartAsset,s2012,The easiest way to make and understand important personal finance decisions.
1417,Soylent,s2012,"Soylent is a simple, nutritious, and affordable food that possesses all the essential ingredients a body needs to be healthy."
1419,Statwing,s2012,Dead simple statistical analysis software. Like R or SPSS but easy to use. Acquired by Qualtrics in May 2016.
1420,Streem,s2012,Acquired by Box in June 2014. We built: (1) a native win/mac filesystem to access files in the cloud directly via native desktop apps with no syncing required; (2) an on-the-fly adaptive bitrate video transcoder for web/mobile streaming.
1421,Study Edge,s2012,Supplemental Educational Resources Through Web and Mobile
1422,Submittable,s2012,"Submittable is the best way for organizations to create, promote, and manage their calls for submissions, applications and other opportunities."
1423,Survata,s2012,We let brands measure consumer preferences & behavior.
1424,Svbtle,s2012,Curated blog network
1425,Tastemaker,s2012,Interior design marketplace and online retailer
1426,Testmunk,s2012,Automating mobile app testing.
1427,Thread,s2012,"Thread makes it incredibly easy to dress well. We do this by giving people their own personal stylist, for free. They help you save you time and find things that look amazing on you. Shopping will never be the same again."
1428,TomoGuides,s2012,"Mobile travel guides done right. Personalized, context-aware, and offline-friendly!"
1429,Vastrm,s2012,Mass customized active apparel. We are building a full turn key technology and manufacturing platform that will allow other retailers and brands to be able to offer customized apparel to their customers. Get your corporate apparel with us :)
1430,Vayable,s2012,We're building a marketplace for unique travel experiences (it's AirBnB for the part of your vacation when you're not sleeping).
1431,Viacycle,s2012,"viaCycle makes simple, inexpensive bicycle sharing systems that allow automated bike rentals using a mobile phone. Think ZipCar for bikes, but more fun and even easier to use."
1432,Virool,s2012,Virool provides native video advertising experience for the biggest publishers on the web.
1433,VoiceGem,s2012,A simple and versatile voice messaging platform. (Acquired by Palantir - Feb 2013)
1434,Zapier,s2012,Zapier connects thousands of SaaS apps with customizable workflows via an easy to use editor.
1435,Zentail,s2012,"Make commerce simple. Manage all of your sales channels, product information, inventory and orders in one central system."
1436,ZeroMailer,s2012,Easy mailing lists
1437,42Floors,w2012,We make it easy to search for office space.
1438,99dresses,w2012,We're creating every women's fantasy by combining the unwanted fashion collections of a potential 30M+ young US women into one massive Infinite Closet that can be accessed on demand.
1439,Amiato,w2012,The BI bridge for unstructured data. We automatically bridge the gap between unstructured data sources and the rich world of structured BI tools. Run reports on MongoDB. Tableau on event streams. Excel on logs.
1440,Amplitude,w2012,Product Analytics
1441,Ark,w2012,Ark organizes the world's social information.
1442,Authy,w2012,Authy is a Two-Factor Authentication platform for developers
1443,BarSense,w2012,Kid's first smartphone with web-based parental controls.
1444,BookSolid,w2012,27Bards is the opentable for tour operators.
1445,Brace,w2012,Backlift allows front-end only developers to build entire websites and deploy them instantly via Dropbox.
1446,Carsabi,w2012,We are building an index of every car on the internet to help find your next automotive purchase.
1447,Chute,w2012,"Discover the photos and videos people are taking of your brand or products on any major social network, get rights to that media, and publish it wherever you see fit, from a billboard to a banner ad. We call this process visual marketing automation."
1448,CircuitHub,w2012,Electronics factory automation
1449,CleverDeck,w2012,Collaborate with an artist to commission original artwork you'll live with and love for the rest of your life.
1451,Couple,w2012,"App that connects two phones and creates a private timeline to share things with your girlfriend/boyfriend. It's somewhere between a Facebook timeline for your relationship, and SMS, so you have a more personal way to communicate."
1452,Documents.Me,w2012,Client-side encryption for your devices and the cloud.
1453,EngageInbox,w2012,Givespark was a celebrity fundraising platform
1454,Exec,w2012,Exec is a house cleaning service that users can book from their iPhone or the web in real-time.
1455,FamilyLeaf,w2012,"Bring your far-flung family closer together. Stay in touch with your family members' contact information, photos, and updates."
1456,FarmLogs,w2012,Software that helps farmers monitor their operations and operate more profitable businesses. Also building a next-generation commodity hedging platform.
1457,Flutter,w2012,"Flutter combined computer vision technology with the built-in webcams in laptops, iPads, smartphones and TVs to let users control these devices with gestures, facial expressions, hints and body-language. Flutter became part of Google in Oct 2013."
1458,Fond,w2012,Fond provides a SaaS solution for Rewards and Recognitions.
1459,Glider,w2012,We filter distracting emails away from your inbox.
1460,Grouper,w2012,We set up drinks between 2 groups of friends: 3 guys and 3 girls.
1461,Gusto,w2012,"Humans aren’t resources. Gusto reimagines payroll, benefits, and HR by automating the most complicated, impersonal business tasks and making them simple and delightful. Get three months free @ https://gusto.com/friends/y-combinator"
1462,HackPad,w2012,A realtime wiki for getting things done.
1463,Hipmob,w2012,Customer communication for iOS and Android developers - an in-app support portal and in-app live chat; all native code.
1464,HireArt,w2012,We simulate the work environment to find out who's best for the job.
1465,iCracked,w2012,"On-demand smartphone repair in 3 countries and launching smart home installation. Think of us like a white labeled Geek Squad for retailers, Insurance Co's, and Telco's."
1467,LendUp,w2012,LendUp is a socially responsible company on a mission to redefine financial services for the emerging middle class. LendUp builds loans and credit cards paired with educational experiences to help people save money and improve their financial health.
1468,Loom,w2012,Cloud storage for photos and videos (acquired by Dropbox).
1469,LVL6,w2012,We make mobile MMOs.
1470,Make School,w2012,"Make School is redesigning college for the 21st century. Students learn liberal arts and computer science, pay tuition as a percentage of earnings, and graduate to jobs at YC companies."
1471,Marft,w2012,"Marft creates embeddable machine learning models for application developers. Users submit data by web/API, and receive optimized models implemented in a language of their choice."
1472,MatterPort,w2012,Turn physical objects and environments into 3D models in seconds.
1473,Medigram,w2012,"We are making a HIPAA-compliant, Groupme app for doctors to communicate in the hospital, as an alternative to pagers."
1474,Medmonk,w2012,A tool for pharmacists to find funding for patients who are unable to pay for their medications.
1475,Minefold,w2012,Simple multiplayer game servers.
1476,MyVR,w2012,The open platform for the vacation rental industry.
1477,Optilly/Installmonetizer,w2012,InstallMonetizer is a software distribution adnetwork on the windows platform..... Mobile coming soon :)
1478,Per Vices,w2012,"Per Vices Corporation builds software-defined radio (SDR) products. Our Crimson platform provides the flexibility and bandwidth required to support various radio applications used within the infrastructure, defence, and telecommunications industries."
1479,Pixelapse,w2012,"Github for designers. We automatically keep track of revisions of Photoshop, Illustrator and other design files and back them up securely. Designers can collaborate with their team members to get feedback and iterate on their designs."
1480,PlanGrid,w2012,We build mobile applications for the construction industry
1481,Priceonomics,w2012,We help companies turn their data into great stories.
1482,Rescale,w2012,Cloud Big Compute Platform
1483,Ridecell,w2012,"Ridecell is the leading SaaS operating system to launch, operate, and scale autonomous and new mobility services including carsharing, counterless rentals, ridesharing, and autonomous services."
1484,Roundup,w2012,"Event organization, for your phone."
1485,Screenleap,w2012,Simple screen sharing. Allow people to view your screen from any device with a browser. Also available as a service through our API for companies that want to add screen sharing to their products.
1486,SendHub,w2012,Simple Business SMS. SMBs to Large Enterprise.
1487,Shoptiques,w2012,Shoptiques.com lets you shop the world's best local boutiques online.
1488,Shopular,w2012,"Deals, Coupons & Cash Back for your favorite stores."
1489,SlidePay,w2012,Banking and Payment Platform APIs. Exited October 2014.
1490,Socialcam,w2012,The easiest way to share videos with friends and family.
1491,SolidStage,w2012,"Sysadmin as a service. We make deploying, configuring, monitoring, and scaling in the cloud simple."
1492,Swiftype,w2012,Smart search for the modern team.
1493,Talkray (TiKL),w2012,"Instantly talk or text to one or a group of friends at once with the touch of a button. No setup needed. Fast, simple and free - TiKL turns your phone into the ultimate Push To Talk (PTT) Walkie Talkie with instant messenger capability."
1494,Tap to Learn,w2012,Games For Education
1495,The Muse,w2012,"The Muse is the ultimate career destination offering exciting job opportunities, expert advice, and a peek behind the scenes into fantastic companies and career paths."
1496,Tilt,w2012,"Mobile crowdfunding: The easiest way to collect, fundraise, and sell with your community."
1497,WireOver,w2012,Really secure file sending for big files.
1498,YourMechanic,w2012,"Car Repairs, Reinvented: a. Mechanic comes to your home or work to fix your car b. Save 20-30% by working directly with mechanics instead of shops c. Total transparency and money back guarantee"
1499,Zillabyte,w2012,Palantir for sales people
1500,Zipio,w2012,Deal search service
1501,AgileMD,s2011,Productivity software for hospitals; predictive analytics and prescriptive guidance embedded within the electronic medical record.
1502,Aisle50,s2011,Grocery deals.
1503,Apollo,s2011,"We make Apollo, the leading GraphQL implementation. (We are also the team that built Meteor, the JavaScript framework.)"
1504,Automatic,s2011,Automatic connects your car to the rest of your digital life.
1505,Caviar,s2011,Uber for food.
1506,Citus Data,s2011,Real-time. Big data. PostgreSQL
1507,Clerky,s2011,We build software to make legal paperwork easy for startups and their attorneys.
1508,Clutch,s2011,An easy to integrate library for native iOS applications designed to help you develop faster and deploy instantly.
1509,Codecademy,s2011,Codecademy teaches the world the skills they need to get the jobs they want.
1510,Compose,s2011,"We make it easy to run databases. PostgreSQL, Redis, MongoDB, Elasticsearch, and RethinkDB."
1511,Cryptoseal,s2011,"Server key management, VPN as a Service, Privacy VPN. Sold to CloudFlare in 2014."
1512,Debteye,s2011,Automate credit counseling.
1513,Draft,s2011,Making Draft. Super simple version control and collaboration for writers. http://draftin.com
1514,Dubjoy,s2011,Dubjoy translates and voice-overs your video to any language
1515,Embark,s2011,Public transit apps. Acquired by Apple in 2013.
1516,Firebase,s2011,"App success made simple. An app platform to develop high-quality apps, grow your user base, and earn more money. Acquired by Google."
1517,Fobo,s2011,Sell to people nearby.
1518,Freshplum,s2011,Analytics with action
1519,Genius,s2011,Crowd-sourced explanations of song lyrics
1520,GlassMap,s2011,Location sharing. Acquired by Groupon in 2013.
1521,GoCardless,s2011,Replace credit cards online.
1522,Graffiti Labs,s2011,Building game. http://playbuildy.com
1523,HackerRank,s2011,Programmer IQ
1524,Hungry Labs,s2011,Now part of Snaplayer.
1525,Imgix,s2011,"Responsive images as a service, delivered by CDN."
1526,Interstate,s2011,Create & Share Product Roadmaps
1527,Kicksend,s2011,Send and print photo albums with people you love. Acquired by Lyft
1528,Launchpad Toys,s2011,"Creativity at Play. Tablet toys. Acquired by Google, 2015."
1529,LeadGenius,s2011,LeadGenius is an account-based marketing and lead generation platform. LeadGenius uses a unique combination of machine learning and human intelligence to help B2B marketing and sales teams find and connect with their ideal accounts.
1530,Leaky,s2011,Online auto and business insurance. (Acquired 2013)
1531,MarketBrief,s2011,Generate stories from SEC filings.
1532,MixRank,s2011,"Data platform for sales, advertising, mobile, web, and business intelligence."
1533,OneSignal,s2011,OneSignal provides a simple interface to push notifications. OneSignal lets content creators focus on quality user engagement instead of complex implementation. Our goal is to democratize push communication for everyone.
1534,Opez,s2011,Yelp for service pros.
1535,Origami,s2011,"Everyme and Origami were mobile apps helping you stay in touch with your favorite people. Acquired by eFamily, team acqui-hired by Nest in 2013."
1536,Pagelever,s2011,Facebook analytics. Acquired by Unified in January 2013.
1537,Parse,s2011,Parse is the easiest way to build apps.
1538,PayDragon,s2011,Hyperlinking the real world.
1540,Perfect Audience,s2011,Self-service display advertising for SaaS and online retail.
1542,Pingm,s2011,Phone system for sales teams.
1543,Proxino,s2011,Javascript proxy.
1544,Quad,s2011,Quad is where college students get things done.
1545,Quartzy,s2011,Marketplace for life science supplies.
1546,Realm,s2011,Better data structures = no DB.
1547,Rentobo,s2011,The easiest way to find a tenant. Rentobo is a tool that makes it easy for rental landlords and property managers to advertise their listings and accept rental applications online.
1548,Ridejoy,s2011,Long-distance carpooling marketplace. Shut down in early 2013.
1549,Science Exchange,s2011,Science Exchange's mission is to enable breakthrough scientific research. We connect researchers and service providers through our online marketplace and promote scientific collaboration that will help improve the quality and efficiency of research.
1550,Segment,s2011,Segment is the analytics infrastructure that helps collect and organize data so businesses make better decisions.
1551,Sift Science,s2011,"We use machine learning to power Trust & Safety for thousands of online businesses; eliminating chargebacks, fake accounts, account takeover, and spam, and reducing user friction to drive growth."
1552,Snapjoy,s2011,Photo library.
1553,Streak,s2011,"Streak transforms Gmail into a customizable CRM and process management tool. Our products service thousands of businesses, we’re growing fast, we’re profitable and we’re still a small team."
1554,Stypi,s2011,Realtime collaborative coding
1555,TapEngage,s2011,"Tablet ad network, acquired by Dropbox in July 2012"
1556,Userfox,s2011,User retention as a service. Drip email
1557,Vapor,s2011,In-video advertising.
1558,Verbling,s2011,Language learning through video chat.
1559,Videopixie,s2011,"Marketplace for Video Production Services. We help you hire the best video creators for your projects. Just post a project and you'll receive 5-10 bids from pre-selected video teams. You pick the team with the best idea, style and price."
1560,Vidyard,s2011,YouTube for business.
1561,Zenbox,s2011,"Brings dozens of SaaS's (Mailchimp, Stripe, Shopify, Salesforce, etc.) into Gmail."
1562,Zeus,s2011,Tech-enabled property manager focused on corporate rentals
